"Depth","Age","Influx","x"
0.003003,1,4.666293667,-0.361604216
0.034535,500,6.874733333,-0.341404804
0.06006,905,7.336403206,-0.337182157
0.091592,1404,7.013040517,-0.340139782
0.112613,1752,3.631394779,-0.37106988
0.129129,2024,2.945652576,-0.377341996
0.154655,2451,5.224955029,-0.35649444
0.175676,2791,6.495667649,-0.344871914
0.196697,3144,7.537107042,-0.335346427
0.220721,3357,12.02532581,-0.2942951
0.241742,3517,14.42119925,-0.272381332
0.262763,3676,13.896792,-0.277177803
0.283784,3841,9.88767,-0.31384709
0.301802,3995,3.591817941,-0.371431868
0.327327,4420,2.528244137,-0.381159807
0.358859,4947,4.013361,-0.36757624
0.372372,5172,4.348167353,-0.364513946
0.393393,5529,8.863918346,-0.323210797
0.421922,5801,12.57550412,-0.289262914
0.442943,5954,13.56787385,-0.280186241
0.463964,6123,13.27975297,-0.282821528
0.481982,6271,20.84551855,-0.213621532
0.513514,6436,46.03599,0.016782186
0.534535,6481,41.73466154,-0.022559756
0.551051,6520,44.19644571,-4.31383E-05
0.576577,6583,51.6516,0.068145155
0.600601,6637,39.26637,-0.045135894
0.636637,6721,25.656345,-0.169619486
0.660661,6777,34.4113261,-0.089542374
0.684685,6836,25.40897727,-0.171882025
0.71021,6935,15.42654092,-0.263186011
0.726727,7033,15.8575725,-0.259243597
0.744745,7137,23.17825125,-0.192285279
0.762763,7241,28.86180061,-0.140300904
0.794294,7414,19.411392,-0.226738718
0.818318,7549,9.760566033,-0.315009642
0.833333,7641,3.060153871,-0.376294714
0.86036,7796,4.126143553,-0.366544679
0.885886,7948,26.30628,-0.163674879
0.90991,8083,21.40822895,-0.208474722
0.930931,8197,22.11458264,-0.202014084
0.959459,8356,22.85480398,-0.195243677
0.987988,8523,19.91910288,-0.222094959
1.019519,8757,10.87626626,-0.304804931
1.036036,8896,9.450699405,-0.317843825
1.054054,9037,18.30591649,-0.236849909
1.078078,9231,239.9440892,1.790355462
1.121622,9571,10.38600833,-0.309289057
1.156156,9852,10.77900353,-0.305694541
1.18018,10056,12.4173,-0.290709922
1.198198,10199,25.94592,-0.166970898
1.222222,10300,28.13073516,-0.146987567
1.250751,10425,849.4733854,7.365392687
1.279279,10548,21.25576492,-0.209869229
1.318318,10729,34.97733185,-0.084365423
1.352853,10948,33.67466512,-0.096280216
1.391892,11197,55.12645436,0.099927783
1.412913,11291,24.95290551,-0.176053469
1.430931,11380,18.75642465,-0.232729352
1.444444,11451,24.98648727,-0.175746315
1.483484,11671,35.7968877,-0.076869386
1.493994,11732,75.00099721,0.281709556
1.504504,11770,338.37804,2.690677963
1.525525,11791,271.83411,2.082036361
1.539039,11805,194.3300101,1.373147971
1.56006,11829,195.3523275,1.382498559
1.588589,11865,45.33848907,0.010402519
1.612613,11962,42.0843781,-0.019361087
1.641141,12141,17.7063373,-0.242333938
1.659159,12252,19.23576828,-0.228345054
1.683183,12397,7.161740475,-0.338779704
1.722222,12723,2.83987952,-0.378309445
3.040541,20870,2.334927532,-0.38292797
3.061562,21028,33.19849621,-0.100635478
3.082583,21164,5.155694022
3.163664,21716,3.51351
3.184685,21863,9.499430769
3.208709,22032,34.40999302
3.216216,22075,3.063903488
